,Unnamed: 0,client_id,age,job,marital,education,credit_default,mortgage,month,day,contact_duration,number_contacts,previous_campaign_contacts,previous_outcome,cons_price_idx,euribor_three_months,campaign_outcome
0,0,16476,28,admin.,single,university.degree,no,yes,jul,19,156,2,0,nonexistent,93.918,4.963,no
1,1,16477,36,blue-collar,married,high.school,no,no,jul,17,238,1,0,nonexistent,93.918,4.963,no
2,2,16478,40,blue-collar,married,high.school,no,no,jul,31,319,1,0,nonexistent,93.918,4.963,no
3,3,16479,33,blue-collar,married,basic.4y,no,yes,jul,27,371,1,0,nonexistent,93.918,4.963,no
4,4,16480,32,blue-collar,divorced,basic.6y,unknown,yes,jul,12,670,1,0,nonexistent,93.918,4.963,no
5,5,16481,46,services,married,high.school,no,yes,jul,21,194,1,0,nonexistent,93.918,4.963,no
6,6,16482,28,management,single,university.degree,no,yes,jul,8,35,9,0,nonexistent,93.918,4.963,no
7,7,16483,31,blue-collar,married,basic.4y,unknown,yes,jul,16,148,1,0,nonexistent,93.918,4.963,no
8,8,16484,31,blue-collar,married,basic.9y,no,no,jul,29,284,1,0,nonexistent,93.918,4.963,no
9,9,16485,26,admin.,single,university.degree,no,yes,jul,3,182,1,0,nonexistent,93.918,4.963,no
10,10,16486,57,admin.,married,basic.9y,no,no,jul,7,194,1,0,nonexistent,93.918,4.963,no
11,11,16487,36,entrepreneur,married,university.degree,no,no,jul,22,56,1,0,nonexistent,93.918,4.963,no
12,12,16488,30,blue-collar,single,basic.6y,unknown,yes,jul,23,375,8,0,nonexistent,93.918,4.963,no
13,13,16489,30,technician,married,university.degree,no,yes,jul,18,31,2,0,nonexistent,93.918,4.963,no
14,14,16490,42,admin.,married,university.degree,no,no,jul,16,73,2,0,nonexistent,93.918,4.963,no
15,15,16491,31,housemaid,single,high.school,no,no,jul,19,952,2,0,nonexistent,93.918,4.963,no
16,16,16492,39,services,married,high.school,no,no,jul,10,111,1,0,nonexistent,93.918,4.963,no
17,17,16493,24,blue-collar,single,basic.9y,unknown,yes,jul,23,213,1,0,nonexistent,93.918,4.963,no
18,18,16494,39,services,married,unknown,unknown,no,jul,25,146,2,0,nonexistent,93.918,4.963,no
19,19,16495,57,admin.,single,basic.9y,no,yes,jul,18,158,3,0,nonexistent,93.918,4.963,no
20,20,16496,24,services,single,basic.9y,no,yes,jul,20,163,4,0,nonexistent,93.918,4.963,no
21,21,16497,21,blue-collar,married,basic.9y,no,yes,jul,10,150,2,0,nonexistent,93.918,4.963,no
22,22,16498,36,blue-collar,single,basic.6y,no,yes,jul,31,423,1,0,nonexistent,93.918,4.963,no
23,23,16499,44,admin.,married,basic.6y,no,no,jul,4,368,1,0,nonexistent,93.918,4.963,no
24,24,16500,30,management,married,university.degree,no,yes,jul,11,280,1,0,nonexistent,93.918,4.963,no
25,25,16501,36,services,married,high.school,unknown,no,jul,17,79,3,0,nonexistent,93.918,4.963,no
26,26,16502,32,technician,single,high.school,no,no,jul,19,40,5,0,nonexistent,93.918,4.963,no
27,27,16503,38,blue-collar,married,high.school,no,yes,jul,1,122,5,0,nonexistent,93.918,4.963,no
28,28,16504,25,blue-collar,single,basic.6y,no,no,jul,11,123,2,0,nonexistent,93.918,4.963,no
29,29,16505,32,technician,married,professional.course,no,no,jul,2,183,1,0,nonexistent,93.918,4.963,no
30,30,16506,40,entrepreneur,married,university.degree,no,no,jul,17,639,1,0,nonexistent,93.918,4.963,no
31,31,16507,22,blue-collar,single,high.school,no,yes,jul,13,123,2,0,nonexistent,93.918,4.963,no
32,32,16508,29,admin.,divorced,unknown,no,no,jul,5,222,1,0,nonexistent,93.918,4.963,no
